id	title	year	venue	language	RQs	relevance	score	decision	reason
abootorabi_ask_2025	Ask in any modality: {A}	2025	arXiv preprint arXiv …		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
aboulela_exploring_2025	Exploring {RAG}	2025	2025 IEEE …		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
abrahamyan_stackrag_2024	{StackRAG}	2024	2024 {IEEE}		RQ2	Baja	1.0	Include	Factualidad/alucinaciones
abrami_vr-parlexplorer_2025	{VR}	2025	Proceedings of the 36th {ACM}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
abras_can_2025	Can {Generative}	2025	Lecture Notes in Business Information Processing		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
abshari_llm-assisted_2024	Llm-assisted physical invariant extraction for cyber-physical systems anomaly detection	2024	arXiv preprint arXiv:2411.10918		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
abtahi_augmenting_2025	Augmenting {Large}	2025			RQ4	Baja	1.0	Include	Métricas/metodologías
abu-arqoub_design_2025	Design and {Implementation}	2025	2025 1st {International}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
abualhaija_llm-assisted_2025	{LLM}	2025	2025 {IEEE}		RQ2	Baja	1.0	Include	Factualidad/alucinaciones
adam_traceable_2025	Traceable {LLM}	2025	Information Processing \&Management		RQ3	Baja	1.0	Include	XAI/calibración
adanza_leveraging_2025	Leveraging generative {AI}	2025	Computer Networks		RQ4	Baja	1.0	Include	Métricas/metodologías
addad_homeopathic_2024	Homeopathic {Poisoning}	2024	Lecture Notes in Computer Science		RQ1,RQ3,RQ4	Alta	3.0	Include	Confianza/percepción y XAI/calibración y Métricas/metodologías
addison_c-fedrag_2024	C-fedrag: {A}	2024	arXiv preprint arXiv …		RQ4	Baja	1.0	Include	Métricas/metodologías
adejumo__2024	… {Care}	2024	medRxiv		RQ4	Baja	1.0	Include	Métricas/metodologías
adhikari_exploring_2025	Exploring {LLMs}	2025	Proceedings of the 7th {ACM}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
afzal_towards_2025	Towards {Optimizing}	2025	Proceedings of the 2024 8th {International}		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
agadakos_large-scale_2020	Large-scale {Debloating}	2020	Digital Threats		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
agarwal_symkgqa_2024	{SymKGQA}	2024	Proceedings of the {Annual}		RQ4	Baja	1.0	Include	Métricas/metodologías
agarwal_toward_2025	Toward {Inclusive}	2025	IEEE Access		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
agater_slango_2025	{SLANGO}	2025	Lecture Notes in Computer Science		RQ4	Baja	1.0	Include	Métricas/metodologías
agliata_generative_2024	Generative {AI}	2024	2024 {IEEE}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
agrawal_algoace_2025	{AlgoAce}	2025	{CEUR}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
agrawal_llm_2025	{LLM}	2025			RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
agrawal_mindful-rag_2024	Mindful-{RAG}	2024	2024 2nd {International}		RQ1,RQ2,RQ3,RQ4	Alta	4.0	Include	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
agrawal_mindful-rag_2024-1	Mindful-rag: {A}	2024	2024 2nd International …		-	Baja	0.0	Maybe	Fuera de alcance
agrawal_scmrag_2025	{SCMRAG}	2025	Proceedings of the 24th {International}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
agrawal_scmrag_2025-1	Scmrag: {Self}	2025	Proceedings of the 24th …		RQ4	Baja	1.0	Include	Métricas/metodologías
ahmed_codeqa_2024	{CodeQA}	2024	2024 6th Novel …		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
ahmed_quality_2025	Quality {Assurance}	2025	… on Software Testing …		RQ4	Baja	1.0	Include	Métricas/metodologías
ahn_guide_2025	A guide to evade hallucinations and maintain reliability when using large language models for medical research: a narrative review	2025	Annals of Pediatric Endocrinology and Metabolism		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
ai_foundations_2025	Foundations of {Generative}	2025	Information Retrieval Series		RQ4	Baja	1.0	Include	Métricas/metodologías
ailapuram_development_2025	Development of a {Medical}	2025	2025 12th {International}		RQ2	Baja	1.0	Include	Factualidad/alucinaciones
akarajaradwong_nitibench_2025	Nitibench: {A}	2025	arXiv preprint arXiv …		RQ3	Baja	1.0	Include	XAI/calibración
akbar_retrieval_2025	Retrieval {Augmented}	2025	arXiv preprint arXiv …		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
akewar_can_2025	Can {LLMs}	2025	Proceedings of the 17th {ACM}		RQ4	Baja	1.0	Include	Métricas/metodologías
akilesh_multi-agent_2025	Multi-{Agent}	2025			RQ1,RQ3,RQ4	Alta	3.0	Include	Confianza/percepción y XAI/calibración y Métricas/metodologías
aksoy_architecting_2024	Architecting and {Evaluating}	2024	ICAMƩ'24		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
akyash_evolutionary_2024	Evolutionary {Large}	2024	Proceedings of the {Great}		RQ4	Baja	1.0	Include	Métricas/metodologías
al-machot_building_2025	Building {Trustworthy}	2025	Lecture Notes in Networks and Systems		RQ1,RQ3,RQ4	Alta	3.0	Include	Confianza/percepción y XAI/calibración y Métricas/metodologías
al-qatf_rag4ds_2025	{RAG4DS}	2025	IEEE Access		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
al-zuraiqi_designing_2025	Designing and {Optimizing}	2025	Proceedings of the 21st {International}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
al-zuraiqi_evaluating_2024	Evaluating {Alignment}	2024	2024 International Conference on …		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
al_atraqchi_large_2025	Large {Language}	2025	Studies in Systems		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
al_haque_evolution_2025	The {Evolution}	2025	Proceedings of the 33rd {ACM}		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
al_owayyed_controlled_2025	Controlled {Yet}	2025	Proceedings of the 25th {ACM}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
alabbasi_teleoracle_2025	{TeleOracle}	2025	IEEE Internet of Things Journal		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
alam_memento_2024	Memento 4.0: {A}	2024	Proceedings of the 7th {Annual}		RQ4	Baja	1.0	Include	Métricas/metodologías
alam_towards_2025	Towards {Interpretable}	2025	Lecture Notes in Computer Science		RQ3	Baja	1.0	Include	XAI/calibración
alan_improving_2025	Improving {LLM}	2025	Turkish Journal of Engineering		RQ1,RQ2,RQ3,RQ4	Alta	4.0	Include	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
alan_rag-based_2024	A rag-based question answering system proposal for understanding islam: {Mufassirqas}	2024	arXiv preprint arXiv:2401.15378		RQ4	Baja	1.0	Include	Métricas/metodologías
alan_rag-based_2025	A {RAG}	2025	arXiv		RQ1,RQ2,RQ3,RQ4	Alta	4.0	Include	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
alaofi_llms_2024	{LLMs}	2024	Proceedings of the 2024 {Annual}		-	Excluir	0.0	Exclude	Fuera de alcance
albrecht-crane_thinking_2025	Thinking {Smarter}	2025	Proceedings of the 43rd {ACM}		RQ3	Baja	1.0	Include	XAI/calibración
alenjareghi_llm-driven_2025	{LLM}	2025			RQ1,RQ3,RQ4	Alta	3.0	Include	Confianza/percepción y XAI/calibración y Métricas/metodologías
alessio_cosrec_2025	{CoSRec}	2025	Proceedings of the 48th {International}		RQ4	Baja	1.0	Include	Métricas/metodologías
alessio_improving_2024	Improving rag systems via sentence clustering and reordering	2024	CEUR WORKSHOP …		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
alghamdi_enhancing_2024	Enhancing {Arabic}	2024	Proceedings of the 7th {International}		RQ4	Baja	1.0	Include	Métricas/metodologías
alghamdi_towards_2024	Towards {Reliable}	2024	Information (Switzerland)		RQ1,RQ2,RQ3,RQ4	Alta	4.0	Include	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
alharthi_llm-powered_2025	{LLM}	2025	2025 {IEEE}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
ali_atlasgpt_2025	{AtlasGPT}	2025	Journal of Neurosurgery		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
alinejad_evaluating_2024	Evaluating the retrieval component in llm-based question answering systems	2024	arXiv preprint arXiv:2406.06458		RQ4	Baja	1.0	Include	Métricas/metodologías
alkhalaf_applying_2024	Applying generative {AI}	2024	Journal of Biomedical Informatics		RQ4	Baja	1.0	Include	Métricas/metodologías
alkouz_ukrag_2025	{UKRAG}	2025	Communications in Computer and Information Science		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
allard_mega-gpt_2025	{MEGA}	2025	Molecular Biology and Evolution		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
allu_beyond_2024	Beyond {Extraction}	2024	arXiv		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
almeida_artificial_2025	Artificial {Intelligence}	2025	Anesthesia and Analgesia		-	Excluir	0.0	Exclude	Fuera de alcance
almuntashiri_using_2025	Using {LLMs}	2025	Proceedings of the {ProvenanceWeek}		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
alonso_medexpqa_2024	{MedExpQA}	2024	Artificial Intelligence in Medicine		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
alrabie_towards_2025	Towards {Human}	2025	Proceedings of the 16th {Biannual}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
alshahwan_automated_2024	Automated {Unit}	2024	Companion {Proceedings}		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
alshammary_rfpg_2024	{RFPG}	2024	2024 {IEEE}		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
alsoubai_profiling_2024	Profiling the {Offline}	2024	Proc. ACM Hum.-Comput. Interact.		RQ4	Baja	1.0	Include	Métricas/metodologías
alvarado_garcia_emerging_2025	Emerging {Data}	2025	Proceedings of the 2025 {CHI}		RQ4	Baja	1.0	Include	Métricas/metodologías
alvarado_towards_2022	Towards {Tangible}	2022	Proc. ACM Hum.-Comput. Interact.		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
alvarez_de_la_vega_understanding_2023	Understanding {Platform}	2023	Proc. ACM Hum.-Comput. Interact.		RQ3	Baja	1.0	Include	XAI/calibración
alves_da_veiga_generative_2023	Generative {Ominous}	2023	Proceedings of the 20th {International}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
alzahrani_accessible_2025	Accessible {AI}	2025	Practice and {Experience}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
amarnath_intelligent_2024	An {Intelligent}	2024	2024 4th International …		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
amatriain_measuring_2024	Measuring and mitigating hallucinations in large language models: amultifaceted approach	2024	amatria.in		RQ1,RQ2,RQ3,RQ4	Alta	4.0	Include	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
amazou_accurate_2025	Accurate {AI}	2025	International Journal of Advanced Computer Science and Applications		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
amirshahi_evaluating_2025	Evaluating the {Robustness}	2025	arXiv preprint arXiv …		RQ4	Baja	1.0	Include	Métricas/metodologías
ammann_analysis_2024	Analysis of {Risks}	2024	OST Ostschweizer Fachhochschule		-	Excluir	0.0	Exclude	Fuera de alcance
ammann_securing_2025	Securing rag: {A}	2025	arXiv preprint arXiv …		RQ4	Baja	1.0	Include	Métricas/metodologías
amo-filva_expressing_2025	Expressing {Educational}	2025	Lecture Notes in Educational Technology		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
amri_approach_2024	An {Approach}	2024	Proceedings of the 7th {International}		-	Excluir	0.0	Exclude	Fuera de alcance
amugongo_retrieval_2025	Retrieval augmented generation for large language models in healthcare: {A}	2025	PLOS Digital …		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
an_golden-retriever_2024	Golden-retriever: high-fidelity agentic retrieval augmented generation for industrial knowledge base	2024	arXiv preprint arXiv:2408.00798		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
an_vitality_2024	Vitality 2: {Reviewing}	2024	arXiv preprint arXiv:2408.13450		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
anaguchi_reasoning_2024	Reasoning and {Justification}	2024			RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
anaissi_fine-tuning_2024	Fine-{Tuning}	2024	2024 {IEEE}		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
anand_sciphyrag_2023	{SciPhyRAG}	2023	Lecture Notes in Computer Science		RQ4	Baja	1.0	Include	Métricas/metodologías
anandayuvaraj_fail_2024	{FAIL}	2024	Proceedings of the 39th {IEEE}		RQ1,RQ3,RQ4	Alta	3.0	Include	Confianza/percepción y XAI/calibración y Métricas/metodologías
anantha_context_2024	Context {Tuning}	2024			RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
ananthanarayanan_generating_2025	Generating {Medical}	2025	2025 {IEEE}		RQ4	Baja	1.0	Include	Métricas/metodologías
anaroua_ai-driven_2025	{AI}	2025	arXiv preprint arXiv:2509.20369		RQ4	Baja	1.0	Include	Métricas/metodologías
anderer_making_2025	Making {Lecture}	2025	Proceedings of the 27th {International}		RQ4	Baja	1.0	Include	Métricas/metodologías
anderson_design_2024	The design of an llm-powered unstructured analytics system	2024	arXiv preprint arXiv …		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
andersson_bridging_2024	Bridging the {Skills}	2024	diva-portal.org		-	Excluir	0.0	Exclude	Fuera de alcance
andrews_aimoderator_2025	{AiModerator}	2025	Proceedings of the 30th {International}		RQ4	Baja	1.0	Include	Métricas/metodologías
aneja_beyond_2025	Beyond {Semantics}	2025	Proceedings of the 2025 {ACM}		RQ4	Baja	1.0	Include	Métricas/metodologías
ang_tsgassist_2024	Tsgassist: {An}	2024	Proceedings of the VLDB …		RQ4	Baja	1.0	Include	Métricas/metodologías
anh-khoa_gvec_2024	{GVEC}	2024	2024 {International}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
anichkov_retrieval_2025	Retrieval {Poisoning}	2025	Lecture Notes in Computer Science		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
anjum_halo_2025	{HALO}	2025			RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
anjum_halo_2025-1	Halo: {Hallucination}	2025	2025 IEEE/ACM …		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
antal_evaluating_2025	Evaluating {Open}	2025	Acta Universitatis Sapientiae		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
anthapu_notitle_2025		2025	Packt Publishing		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
antic_notitle_2024		2024	Packt Publishing		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
antico_unimib_2024	Unimib {Assistant}	2024	arXiv preprint arXiv …		RQ2	Baja	1.0	Include	Factualidad/alucinaciones
anwar_evaluating_2024	Evaluating {ChatGPT}	2024	arXiv		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
aodeng_inreactable_2025	{InReAcTable}	2025	Proceedings of the 38th {Annual}		RQ4	Baja	1.0	Include	Métricas/metodologías
aquino_rag_2025	From {RAG}	2025	preprints.org		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
arabzadeh_benchmarking_2025	Benchmarking {LLM}	2025	Proceedings of the 48th {International}		RQ4	Baja	1.0	Include	Métricas/metodologías
arabzadeh_human-ai_2025	A {Human}	2025	Proceedings of the 48th {International}		RQ4	Baja	1.0	Include	Métricas/metodologías
arabzadeh_ir-rag_2025	{IR}	2025	Proceedings of the 48th {International}		RQ4	Baja	1.0	Include	Métricas/metodologías
arakawa_prism-qamp_2024	{PrISM}	2024	Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.		-	Excluir	0.0	Exclude	Fuera de alcance
arasteh_radiorag_2024	{RadioRAG}	2024	arXiv preprint arXiv …		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
aratchige_llms_2025	Llms working in harmony: {A}	2025	arXiv preprint arXiv:2504.01963		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
arazzi_rag-ioe_2025	{RAG}	2025	ACM Trans. Internet Things		RQ4	Baja	1.0	Include	Métricas/metodologías
ardimento_enhancing_2024	Enhancing {Software}	2024	Proceedings of the {ACM}		-	Excluir	0.0	Exclude	Fuera de alcance
ardimento_rag-based_2024	A {RAG}	2024	Proceedings of the ACM …		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
arefeen_irag_2024	{iRAG}	2024	Proceedings of the 33rd {ACM}		RQ4	Baja	1.0	Include	Métricas/metodologías
argyrou_prompt2fashion_2024	{Prompt2Fashion}	2024	Proceedings of the 13th {Hellenic}		RQ1,RQ4	Media	2.0	Include	Confianza/percepción y Métricas/metodologías
ariza-casabona_comparative_2024	A {Comparative}	2024	Proceedings of the 18th {ACM}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
arjona-giner_multiagent_2025	Multiagent {Systems}	2025	Lecture Notes in Educational Technology		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
armant_can_2024	Can {Knowledge}	2024	{CEUR}		RQ4	Baja	1.0	Include	Métricas/metodologías
arnold_pilot_2025	A {Pilot}	2025	{CEUR}		-	Excluir	0.0	Exclude	Fuera de alcance
arora_revolutionizing_2024	Revolutionizing {Third}	2024	2024 {First}		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
arslan_business_2024	Business insights using {RAG}	2024	Journal of Decision Systems		RQ4	Baja	1.0	Include	Métricas/metodologías
arslan_driving_2024	Driving sustainable energy transitions with a multi-source {RAG}	2024	Energy and Buildings		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
arslan_survey_2024	A {Survey}	2024	Procedia computer science		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
arslan_sustainable_2024	Sustainable digitalization of business with multi-agent rag and llm	2024	Procedia Computer Science		RQ4	Baja	1.0	Include	Métricas/metodologías
arslan_sustainable_2024-1	Sustainable {Energy}	2024	… International Conference on …		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
aruleba_scoping_2025	A {Scoping}	2025	Proceedings of the 2025 {Conference}		RQ4	Baja	1.0	Include	Métricas/metodologías
arun_chatgpt_2024	{ChatGPT}	2024	Anatomical Sciences Education		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
asai_self-rag_2023	Self-{RAG}	2023	arXiv		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
asai_self-rag_2023-1	Self-rag: {Self}	2023	NeurIPS 2023 workshop on …		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
asai_self-rag_2024	{SELF}	2024			RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
asbai_mitigating_2024	Mitigating {Hallucination}	2024	diva-portal.org		RQ2	Baja	1.0	Include	Factualidad/alucinaciones
ascorbe_automatic_2024	Automatic and {Manual}	2024	Procesamiento del Lenguaje Natural		-	Excluir	0.0	Exclude	Fuera de alcance
ashaduzzaman_leveraging_2025	Leveraging {Generative}	2025	Adjunct {Proceedings}		RQ4	Baja	1.0	Include	Métricas/metodologías
ashkinaze_plurals_2025	Plurals: {A}	2025	Proceedings of the 2025 {CHI}		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
ashktorab_evalassist_2025	{EvalAssist}	2025	Proceedings of the 38th {Annual}		RQ1,RQ4	Media	2.0	Include	Confianza/percepción y Métricas/metodologías
ashwin_fake_2025	Fake it till you make it? {AI}	2025	Journal of Anaesthesiology Clinical Pharmacology		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
asperti_syllabification_2021	Syllabification of the {Divine}	2021	J. Comput. Cult. Herit.		RQ4	Baja	1.0	Include	Métricas/metodologías
assi_llm-cure_2025	{LLM}	2025	ACM Trans. Softw. Eng. Methodol.		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
ateia_bioragent_2025	{BioRAGent}	2025	Lecture Notes in Computer Science		RQ1,RQ2,RQ3,RQ4	Alta	4.0	Include	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
ateia_can_2024	Can {Open}	2024	arXiv		RQ4	Baja	1.0	Include	Métricas/metodologías
ateia_can_2025	Can language models critique themselves? {Investigating}	2025	arXiv preprint arXiv:2508.05366		RQ4	Baja	1.0	Include	Métricas/metodologías
ates_semantic_2025	Semantic {Chunking}	2025	2025 {IEEE}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
aung_demand_2025	Demand {Forecasting}	2025	Proceedings of the 2024 3rd {International}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
avula_measuring_2025	Measuring the {Fairness}	2025	Proceedings of the 48th {International}		-	Excluir	0.0	Exclude	Fuera de alcance
awadid_ritsa_2025	{RITSA}	2025	International {Conference}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
ayala_task_2025	Task {Decomposition}	2025	2025 IEEE/ACM 4th International Conference on AI …		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
ayyamperumal_current_2024	Current state of {LLM}	2024	arXiv preprint arXiv:2406.12934		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
azam_cancerbot_2024	{CancerBot}	2024	2024 18th {International}		-	Excluir	0.0	Exclude	Fuera de alcance
azher_futuregen_2025	{FutureGen}	2025	2025 IEEE …		RQ4	Baja	1.0	Include	Métricas/metodologías
azher_futuregen_2025-1	Futuregen: {Llm}	2025	arXiv preprint arXiv …		RQ3	Baja	1.0	Include	XAI/calibración
azher_generating_2024	Generating suggestive limitations from research articles using llm and graph-based approach	2024	Proceedings of the 24th ACM/IEEE Joint Conference …		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
