removed_source,removed_path,removed_cite_key,removed_title,removed_year,removed_doi,removed_priority,kept_source,kept_path,kept_cite_key,kept_title,kept_year,kept_doi,kept_priority,reason,match_value,match_score
SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Shailya20251565,LExT: Towards Evaluating Trustworthiness of Natural Language Explanations,2025,10.1145/3715275.3732104,-1.75,ACM,Búsqueda\ACM_2025_11_09.bib,10.1145/3715275.3732104,LExT: Towards Evaluating Trustworthiness of Natural Language Explanations,2025,10.1145/3715275.3732104,-1.85,duplicate_by_doi,10.1145/3715275.3732104,1.0
ACM,Búsqueda\ACM_2025_11_09.bib,10.1145/3712001,Security and Privacy Challenges of Large Language Models: A Survey,2025,10.1145/3712001,-2.25,SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Das2025,Security and Privacy Challenges of Large Language Models: A Survey,2025,10.1145/3712001,-2.25,duplicate_by_doi,10.1145/3712001,1.0
SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Kim2025,"Fostering Appropriate Reliance on Large Language Models: The Role of Explanations, Sources, and Inconsistencies",2025,10.1145/3706598.3714020,-1.7,ACM,Búsqueda\ACM_2025_11_09.bib,10.1145/3706598.3714020,"Fostering Appropriate Reliance on Large Language Models: The Role of Explanations, Sources, and Inconsistencies",2025,10.1145/3706598.3714020,-1.85,duplicate_by_doi,10.1145/3706598.3714020,1.0
SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Harvey2025,"""Don't Forget the Teachers"": Towards an Educator-Centered Understanding of Harms from Large Language Models in Education",2025,10.1145/3706598.3713210,-1.7,ACM,Búsqueda\ACM_2025_11_09.bib,10.1145/3706598.3713210,"""Don't Forget the Teachers"": Towards an Educator-Centered Understanding of Harms from Large Language Models in Education",2025,10.1145/3706598.3713210,-1.85,duplicate_by_doi,10.1145/3706598.3713210,1.0
SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Li202426,Towards Citizen-Centric Multiagent Systems Based on Large Language Models,2024,10.1145/3677525.3678636,-1.7,ACM,Búsqueda\ACM_2025_11_09.bib,10.1145/3677525.3678636,Towards Citizen-Centric Multiagent Systems Based on Large Language Models,2024,10.1145/3677525.3678636,-1.85,duplicate_by_doi,10.1145/3677525.3678636,1.0
SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Lee20242911,REX: Designing User-centered Repair and Explanations to Address Robot Failures,2024,10.1145/3643834.3661559,-1.75,ACM,Búsqueda\ACM_2025_11_09.bib,10.1145/3643834.3661559,REX: Designing User-centered Repair and Explanations to Address Robot Failures,2024,10.1145/3643834.3661559,-1.85,duplicate_by_doi,10.1145/3643834.3661559,1.0
IEEE,Búsqueda\IEEE_2025_11_09.bib,10818303,Reasoning and Justification System for Domestic Hazardous Behaviors Based on Knowledge Graph of Daily Activities and Retrieval-Augmented Generation,2024,10.1109/CANDAR64496.2024.00010,-1.7000000000000002,SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Anaguchi202411,Reasoning and Justification System for Domestic Hazardous Behaviors Based on Knowledge Graph of Daily Activities and Retrieval-Augmented Generation,2024,10.1109/CANDAR64496.2024.00010,-2.0500000000000003,duplicate_by_doi,10.1109/candar64496.2024.00010,1.0
IEEE,Búsqueda\IEEE_2025_11_09.bib,10825576,Evaluation and Comparison of Open-Source LLMs Using Natural Language Generation Quality Metrics,2024,10.1109/BigData62323.2024.10825576,-1.7000000000000002,SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Hamzic20245342,Evaluation and Comparison of Open-Source LLMs Using Natural Language Generation Quality Metrics,2024,10.1109/BigData62323.2024.10825576,-1.75,duplicate_by_doi,10.1109/bigdata62323.2024.10825576,1.0
IEEE,Búsqueda\IEEE_2025_11_09.bib,10857525,Knowledge Augmented Significant Language Model-Based Chatbot for Explainable Diabetes Mellitus Prediction,2025,10.1109/IMCOM64595.2025.10857525,-1.7000000000000002,SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Elfayoumi2025,Knowledge augmented significant language model-based chatbot for explainable diabetes mellitus prediction,2025,10.1109/IMCOM64595.2025.10857525,-1.75,duplicate_by_doi,10.1109/imcom64595.2025.10857525,1.0
IEEE,Búsqueda\IEEE_2025_11_09.bib,11130125,AI-Driven Differential Diagnosis: Leveraging RAG and LLMs in Intelligent Healthcare Systems,2025,10.1109/IE64880.2025.11130125,-1.7000000000000002,SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Pinna2025,AI-Driven Differential Diagnosis: Leveraging RAG and LLMs in Intelligent Healthcare Systems,2025,10.1109/IE64880.2025.11130125,-2.0,duplicate_by_doi,10.1109/ie64880.2025.11130125,1.0
IEEE,Búsqueda\IEEE_2025_11_09.bib,11127843,RACCOON: Grounding Embodied Question-Answering with State Summaries from Existing Robot Modules,2025,10.1109/ICRA55743.2025.11127843,-1.7000000000000002,SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Bustamante20254322,RACCOON: Grounding Embodied Question-Answering with State Summaries from Existing Robot Modules,2025,10.1109/ICRA55743.2025.11127843,-1.85,duplicate_by_doi,10.1109/icra55743.2025.11127843,1.0
IEEE,Búsqueda\IEEE_2025_11_09.bib,11120597,LLM-Powered Automated Cloud Forensics: From Log Analysis to Investigation,2025,10.1109/CLOUD67622.2025.00012,-1.7000000000000002,SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Alharthi202512,LLM-Powered Automated Cloud Forensics: From Log Analysis to Investigation,2025,10.1109/CLOUD67622.2025.00012,-1.85,duplicate_by_doi,10.1109/cloud67622.2025.00012,1.0
SPRINGER,Búsqueda\SPRINGER_2025_11_09.bib,WhenLLMs2025,When LLMs meet cybersecurity: a systematic literature review,2025,10.1186/s42400-025-00361-w,-1.4500000000000002,SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Zhang2025,When LLMs meet cybersecurity: a systematic literature review,2025,10.1186/s42400-025-00361-w,-2.2,duplicate_by_doi,10.1186/s42400-025-00361-w,1.0
SPRINGER,Búsqueda\SPRINGER_2025_11_09.bib,Humaninterpretable2025,Human interpretable structure-property relationships in chemistry using explainable machine learning and large language models,2025,10.1038/s42004-024-01393-y,-1.4500000000000002,SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Wellawatte2025,Human interpretable structure-property relationships in chemistry using explainable machine learning and large language models,2025,10.1038/s42004-024-01393-y,-2.1,duplicate_by_doi,10.1038/s42004-024-01393-y,1.0
SPRINGER,Búsqueda\SPRINGER_2025_11_09.bib,Largelanguage2025,"Large language models in clinical trials: applications, technical advances, and future directions",2025,10.1186/s12916-025-04348-9,-1.4500000000000002,SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Lin2025,"Large language models in clinical trials: applications, technical advances, and future directions",2025,10.1186/s12916-025-04348-9,-2.25,duplicate_by_doi,10.1186/s12916-025-04348-9,1.0
SPRINGER,Búsqueda\SPRINGER_2025_11_09.bib,Empoweringscientific2025,Empowering scientific discovery with explainable small domain-specific and large language models,2025,10.1007/s10462-025-11365-w,-1.4500000000000002,SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Yu2025,Empowering scientific discovery with explainable small domain-specific and large language models,2025,10.1007/s10462-025-11365-w,-2.25,duplicate_by_doi,10.1007/s10462-025-11365-w,1.0
SPRINGER,Búsqueda\SPRINGER_2025_11_09.bib,ThePractical2025,"The Practical, Robust Implementation and Sustainability (PRISM)-capabilities model for use of Artificial Intelligence in community-engaged implementation science research",2025,10.1186/s13012-025-01447-2,-1.4500000000000002,SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,El-Bassel2025,"The Practical, Robust Implementation and Sustainability (PRISM)-capabilities model for use of Artificial Intelligence in community-engaged implementation science research",2025,10.1186/s13012-025-01447-2,-2.25,duplicate_by_doi,10.1186/s13012-025-01447-2,1.0
SPRINGER,Búsqueda\SPRINGER_2025_11_09.bib,GenerativeAI2025,"Generative AI for cyber threat intelligence: applications, challenges, and analysis of real-world case studies",2025,10.1007/s10462-025-11338-z,-1.4500000000000002,SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Balasubramanian2025,"Generative AI for cyber threat intelligence: applications, challenges, and analysis of real-world case studies",2025,10.1007/s10462-025-11338-z,-2.25,duplicate_by_doi,10.1007/s10462-025-11338-z,1.0
SPRINGER,Búsqueda\SPRINGER_2025_11_09.bib,XLRKGDDleveraging2025,XLR-KGDD: leveraging LLM and RAG for knowledge graph-based explainable disease diagnosis using multimodal clinical information,2025,10.1007/s10115-025-02465-8,-1.4500000000000002,SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Bedi20257451,XLR-KGDD: leveraging LLM and RAG for knowledge graph-based explainable disease diagnosis using multimodal clinical information,2025,10.1007/s10115-025-02465-8,-2.2,duplicate_by_doi,10.1007/s10115-025-02465-8,1.0
SPRINGER,Búsqueda\SPRINGER_2025_11_09.bib,Toollearning2025,Tool learning with large language models: a survey,2025,10.1007/s11704-024-40678-2,-1.4500000000000002,SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Qu2025,Tool learning with large language models: a survey,2025,10.1007/s11704-024-40678-2,-2.2,duplicate_by_doi,10.1007/s11704-024-40678-2,1.0
SPRINGER,Búsqueda\SPRINGER_2025_11_09.bib,RetrievalAugmentedGeneration2025,Retrieval-Augmented Generation (RAG),2025,10.1007/s12599-025-00945-3,-1.4500000000000002,SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Klesel2025551,Retrieval-Augmented Generation (RAG),2025,10.1007/s12599-025-00945-3,-2.1,duplicate_by_doi,10.1007/s12599-025-00945-3,1.0
SPRINGER,Búsqueda\SPRINGER_2025_11_09.bib,Transparencyof2025,Transparency of medical artificial intelligence systems,2025,10.1038/s44222-025-00363-w,-1.4500000000000002,SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Kim2025,Transparency of medical artificial intelligence systems,2025,10.1038/s44222-025-00363-w,-2.0,duplicate_by_doi,10.1038/s44222-025-00363-w,1.0
SPRINGER,Búsqueda\SPRINGER_2025_11_09.bib,WhyDid2025,Why Did the\&\#xa0;AI Suggest That? Designing an\&\#xa0;Explainable Educational Counseling System,2025,10.1007/978-3-031-98459-4\_23,-1.15,SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Fan2025321,Why Did the AI Suggest That? Designing an Explainable Educational Counseling System,2025,10.1007/978-3-031-98459-4_23,-2.25,duplicate_by_doi,10.1007/978-3-031-98459-4_23,1.0
SPRINGER,Búsqueda\SPRINGER_2025_11_09.bib,AMultiAgent2025,A Multi-Agent and GraphRAG-Based Framework for Operation and Management Decision-Making in Hydraulic Projects,2025,10.1007/s11269-025-04312-5,-1.4500000000000002,SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Yang2025,A Multi-Agent and GraphRAG-Based Framework for Operation and Management Decision-Making in Hydraulic Projects,2025,10.1007/s11269-025-04312-5,-2.1500000000000004,duplicate_by_doi,10.1007/s11269-025-04312-5,1.0
SPRINGER,Búsqueda\SPRINGER_2025_11_09.bib,ExplainableGenerative2024,"Explainable Generative AI (GenXAI): a survey, conceptualization, and research agenda",2024,10.1007/s10462-024-10916-x,-1.4500000000000002,SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Schneider2024,"Explainable Generative AI (GenXAI): a survey, conceptualization, and research agenda",2024,10.1007/s10462-024-10916-x,-2.25,duplicate_by_doi,10.1007/s10462-024-10916-x,1.0
SPRINGER,Búsqueda\SPRINGER_2025_11_09.bib,Artificialintelligence2024,Artificial intelligence for literature reviews: opportunities and challenges,2024,10.1007/s10462-024-10902-3,-1.4500000000000002,SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Bolaños2024,Artificial intelligence for literature reviews: opportunities and challenges,2024,10.1007/s10462-024-10902-3,-2.25,duplicate_by_doi,10.1007/s10462-024-10902-3,1.0
ACM,Búsqueda\ACM_2025_11_09.bib,10.1145/3708359,IUI '25: Proceedings of the 30th International Conference on Intelligent User Interfaces,2025,,1.4,ACM,Búsqueda\ACM_2025_11_09.bib,10.1145/3708557,IUI '25 Companion: Companion Proceedings of the 30th International Conference on Intelligent User Interfaces,2025,,1.4,duplicate_by_title,iui 25 proceedings of the 30th international conference on intelligent user interfaces,1.0
ACM,Búsqueda\ACM_2025_11_09.bib,10.1145/3696410,WWW '25: Proceedings of the ACM on Web Conference 2025,2025,,1.3499999999999999,ACM,Búsqueda\ACM_2025_11_09.bib,10.1145/3701716,WWW '25: Companion Proceedings of the ACM on Web Conference 2025,2025,,1.3499999999999999,duplicate_by_title,www 25 proceedings of the acm on web conference 2025,1.0
ACM,Búsqueda\ACM_2025_11_09.bib,10.1145/3707640,CHIWORK '25 Adjunct: Adjunct Proceedings of the 4th Annual Symposium on Human-Computer Interaction for Work,2025,,1.3499999999999999,ACM,Búsqueda\ACM_2025_11_09.bib,10.1145/3729176,CHIWORK '25: Proceedings of the 4th Annual Symposium on Human-Computer Interaction for Work,2025,,1.3499999999999999,duplicate_by_title,chiwork 25 adjunct adjunct proceedings of the 4th annual symposium on human computer interaction for work,1.0
ACM,Búsqueda\ACM_2025_11_09.bib,10.1145/3724363,ITiCSE 2025: Proceedings of the 30th ACM Conference on Innovation and Technology in Computer Science Education V. 1,2025,,1.3499999999999999,ACM,Búsqueda\ACM_2025_11_09.bib,10.1145/3724389,ITiCSE 2025: Proceedings of the 30th ACM Conference on Innovation and Technology in Computer Science Education V. 2,2025,,1.3499999999999999,duplicate_by_title,iticse 2025 proceedings of the 30th acm conference on innovation and technology in computer science education v 1,0.991
ACM,Búsqueda\ACM_2025_11_09.bib,10.1145/3716553,ICMI '25: Proceedings of the 27th International Conference on Multimodal Interaction,2025,,1.4,ACM,Búsqueda\ACM_2025_11_09.bib,10.1145/3747327,ICMI '25 Companion: Companion Proceedings of the 27th International Conference on Multimodal Interaction,2025,,1.4,duplicate_by_title,icmi 25 proceedings of the 27th international conference on multimodal interaction,1.0
ACM,Búsqueda\ACM_2025_11_09.bib,10.5555/3606013,ICSE '23: Proceedings of the 45th International Conference on Software Engineering: Companion Proceedings,2023,,1.4,ACM,Búsqueda\ACM_2025_11_09.bib,10.5555/3606010,ICSE '23: Proceedings of the 45th International Conference on Software Engineering,2023,,1.4,duplicate_by_title,icse 23 proceedings of the 45th international conference on software engineering companion proceedings,1.0
ACM,Búsqueda\ACM_2025_11_09.bib,10.1145/3620665,"ASPLOS '24: Proceedings of the 29th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 2",2024,,1.2999999999999998,ACM,Búsqueda\ACM_2025_11_09.bib,10.1145/3620666,"ASPLOS '24: Proceedings of the 29th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 3",2024,,1.2999999999999998,duplicate_by_title,asplos 24 proceedings of the 29th acm international conference on architectural support for programming languages and operating systems volume 2,0.993
